[2016-03-06 20:26:27,649: INFO/Worker-1] found 21 author in the search set
[2016-03-06 20:26:27,649: INFO/Worker-1] authors: 21
[2016-03-06 20:29:31,872: INFO/Worker-1] 922411746: finished strategy "author"
[2016-03-06 20:29:31,910: INFO/Worker-1] found 8 journals in search set
[2016-03-06 20:29:38,779: INFO/Worker-1] 922411746: finished strategy "journal"
[2016-03-06 20:29:38,782: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:29:38,782: INFO/Worker-1] 922411746: finished strategy "conference"
[2016-03-06 20:29:39,062: INFO/Worker-1] 1824009707 author: set 11 publications
[2016-03-06 20:29:39,801: INFO/Worker-1] found 21 author in the search set
[2016-03-06 20:29:39,801: INFO/Worker-1] authors: 21
[2016-03-06 20:35:17,840: INFO/Worker-1] 1824009707: finished strategy "author"
[2016-03-06 20:35:17,861: INFO/Worker-1] found 2 journals in search set
[2016-03-06 20:35:18,170: INFO/Worker-1] 1824009707: finished strategy "journal"
[2016-03-06 20:35:18,172: INFO/Worker-1] found 4 conferences in search set
[2016-03-06 20:35:18,627: INFO/Worker-1] 1824009707: finished strategy "conference"
[2016-03-06 20:35:19,089: INFO/Worker-1] 375214755 author: set 22 publications
[2016-03-06 20:35:21,636: INFO/Worker-1] found 71 author in the search set
[2016-03-06 20:35:21,636: INFO/Worker-1] authors: 71
[2016-03-06 20:37:02,993: INFO/Worker-1] 375214755: finished strategy "author"
[2016-03-06 20:37:03,014: INFO/Worker-1] found 1 journals in search set
[2016-03-06 20:37:03,465: INFO/Worker-1] 375214755: finished strategy "journal"
[2016-03-06 20:37:03,467: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:37:03,467: INFO/Worker-1] 375214755: finished strategy "conference"
[2016-03-06 20:37:03,749: INFO/Worker-1] 1276773062 author: set 14 publications
[2016-03-06 20:37:04,671: INFO/Worker-1] found 24 author in the search set
[2016-03-06 20:37:04,671: INFO/Worker-1] authors: 24
[2016-03-06 20:38:17,563: INFO/Worker-1] 1276773062: finished strategy "author"
[2016-03-06 20:38:17,585: INFO/Worker-1] found 9 journals in search set
[2016-03-06 20:38:22,637: INFO/Worker-1] 1276773062: finished strategy "journal"
[2016-03-06 20:38:22,640: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:38:22,640: INFO/Worker-1] 1276773062: finished strategy "conference"
[2016-03-06 20:38:22,925: INFO/Worker-1] 1858734327 author: set 15 publications
[2016-03-06 20:38:24,270: INFO/Worker-1] found 36 author in the search set
[2016-03-06 20:38:24,271: INFO/Worker-1] authors: 36
